title,year,feminism,dubious,stars,numVotes,titleType,runtimeMinutes,first_genre,second_genre,third_genre,full feminist
Men Boxing,1891,0,no,4.7,1099.0,short,1.0,Action,Documentary,Short,0
Newark Athlete,1891,0,no,4.9,1799.0,short,1.0,Documentary,Short,Sport,0
"Duncan and Another, Blacksmith Shop",1891,0,no,3.8,141.0,short,,Short,,,0
Duncan Smoking,1891,0,no,3.7,194.0,short,1.0,Short,,,0
Duncan or Devonald with Muslin Cloud,1891,0,no,3.8,132.0,short,,Short,,,0
"Monkey and Another, Boxing",1891,0,no,4.3,137.0,short,,Documentary,Short,,0
Je vous aime,1891,0,no,5.0,392.0,short,1.0,Short,,,0
La vague,1891,0,no,5.0,503.0,short,1.0,Short,,,0
Two Fencers,1891,0,no,4.9,376.0,short,1.0,Short,Sport,,0
Pauvre Pierrot,1892,0,no,6.5,1959.0,short,4.0,Animation,Comedy,Romance,0
Un bon bock,1892,0,no,5.4,178.0,short,12.0,Animation,Short,,0
Le clown et ses chiens,1892,0,no,5.7,272.0,short,5.0,Animation,Short,,0
Fencing,1892,0,no,4.2,564.0,short,1.0,Short,Sport,,0
Le prince de Galles,1892,0,no,4.7,197.0,short,,Documentary,Short,,0
Wrestling,1892,0,no,4.6,145.0,short,,Short,Sport,,0
Boxing,1892,0,no,5.0,245.0,short,,Short,Sport,,0
Blacksmith Scene,1893,0,no,6.2,2725.0,short,1.0,Comedy,Short,,0
Annabelle Butterfly Dance,1894,0,no,5.9,987.0,short,1.0,Documentary,Short,,0
Edison Kinetoscope Records: Annie Oakley,1894,0,no,,,,,,,,0
Autour d&#39;une cabine,1894,0,no,6.1,1142.0,short,2.0,Animation,Short,,0
"Barbershop, The",1894,0,no,5.3,1195.0,short,1.0,Documentary,Short,,0
Bucking Broncho,1894,0,no,5.1,742.0,short,1.0,Documentary,Short,Western,0
Buffalo Dance,1894,0,no,5.4,1025.0,short,1.0,Documentary,Short,Western,0
Carmencita,1894,0,no,5.7,2025.0,short,1.0,Documentary,Short,,0
Edison Kinetoscopic Record of a Sneeze,1894,0,no,5.4,2173.0,short,1.0,Documentary,Short,,0
Dickson Experimental Sound Film,1894,0,no,6.7,2530.0,short,1.0,Music,Short,,0
Chinese Opium Den,1894,0,no,5.0,184.0,short,1.0,Short,,,0
Corbett and Courtney Before the Kinetograph,1894,0,no,5.4,848.0,short,1.0,Short,Sport,,0
Falling Cat,1894,0,no,5.7,946.0,short,1.0,Short,,,0
"Glenroy Bros., No. 2",1894,0,no,5.0,514.0,short,1.0,Comedy,Short,,0
Glenroy Brothers,1894,0,no,5.3,844.0,short,1.0,Documentary,Short,Sport,0
Leonard-Cushing Fight,1894,0,no,5.0,502.0,short,1.0,Documentary,Short,Sport,0
"Luis Martinetti, Contortionist",1894,0,no,5.6,705.0,short,1.0,Short,,,0
Sandow No. 2,1894,0,no,4.5,64.0,short,,Documentary,Short,,0
Sandow No. 3,1894,0,no,4.5,63.0,short,,Documentary,Short,,0
Reve au coin du feu,1894,0,no,4.6,54.0,short,,Animation,Short,,0
Miss Jerry,1894,0,no,5.3,209.0,movie,45.0,Romance,,,0
Tables Turned on the Gardener,1895,0,no,7.1,5751.0,short,1.0,Comedy,Short,,0
"Execution of Mary, Queen of Scots, The",1895,0,no,6.6,2509.0,short,1.0,History,Short,,0
Akrobatisches Potpourri,1895,1,yes,5.2,382.0,short,1.0,Documentary,Short,,0
Annabelle Serpentine Dance,1895,0,no,6.5,2382.0,short,1.0,Documentary,Short,,0
Italienischer Bauerntanz,1895,0,no,4.6,339.0,short,1.0,Documentary,Short,,0
Baby&#39;s Dinner,1895,1,yes,5.9,3475.0,short,1.0,Documentary,Short,,0
Billy Edwards and the Unknown,1895,0,no,4.5,349.0,short,1.0,Short,Sport,,0
Blacksmith Scene,1895,0,no,5.1,1127.0,short,1.0,Documentary,Short,,0
Barque sortant du port,1895,0,no,5.9,1553.0,short,1.0,Documentary,Short,,0
"House of the Devil, The",1896,0,no,6.7,3904.0,short,3.0,Horror,Short,,0
Une nuit terrible,1896,0,no,5.7,1491.0,short,1.0,Comedy,Horror,Short,0
La fee aux choux,1896,0,no,5.4,1358.0,short,1.0,Family,Fantasy,Short,0
"Arrival of a Train, The",1896,0,no,7.4,12707.0,short,1.0,Documentary,Short,,0
Sandow,1896,0,no,5.4,1066.0,short,1.0,Short,Sport,,0
Alger: rue Bab-Azoun,1896,0,no,5.0,260.0,short,1.0,Documentary,Short,,0
Lassage des boeufs pour le labour,1896,0,no,4.4,107.0,short,1.0,Documentary,Short,,0
Lancement d&#39;un navire,1896,0,no,6.2,377.0,short,1.0,Documentary,Short,,0
Bataille de neige,1897,0,no,6.7,1963.0,short,1.0,Comedy,Documentary,Short,0
Four Heads Are Better Than One,1898,0,no,7.5,3943.0,short,1.0,Comedy,Short,,0
"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0,no,7.4,4643.0,short,3.0,Comedy,Fantasy,Horror,0
"Temptation of St. Anthony, The",1898,0,no,5.9,976.0,short,1.0,Drama,Fantasy,Short,0
A Turn of the Century Illusionist,1899,0,no,6.4,1078.0,short,1.0,Fantasy,Short,,0
Cinderella,1899,3,no,6.5,1779.0,short,6.0,Drama,Family,Fantasy,1
Sherlock Holmes Baffled,1900,0,no,5.2,768.0,short,1.0,Comedy,Crime,Fantasy,0
"Enchanted Drawing, The",1900,0,no,6.9,1383.0,short,2.0,Animation,Comedy,Fantasy,0
Grandma&#39;s Reading Glass,1900,0,no,6.0,1339.0,short,2.0,Family,Short,,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0,no,5.6,885.0,short,1.0,Comedy,Short,,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0,no,6.3,993.0,short,1.0,Comedy,Short,,0
Hamlet ( Le Duel d&#39;Hamlet),1900,0,no,5.3,252.0,short,2.0,Drama,Short,,0
"One-Man Band, The",1900,0,no,7.0,2477.0,short,2.0,Comedy,Music,Short,0
Grandma Threading Her Needle,1900,0,no,5.3,27.0,short,1.0,Comedy,Short,,0
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0,no,5.0,212.0,short,1.0,Documentary,Short,,0
Let Me Dream Again,1900,0,no,5.8,828.0,short,1.0,Comedy,Short,,0
"Doctor and the Monkey, The",1900,0,no,5.2,375.0,short,1.0,Comedy,Short,,0
L&#39;homme a la tete en caoutchouc,1901,0,no,7.1,3135.0,short,3.0,Comedy,Fantasy,Short,0
Reve et realite,1901,0,no,5.1,503.0,short,1.0,Comedy,Short,,0
Bluebeard,1901,0,no,6.9,1848.0,short,12.0,Horror,Short,,0
Le voyage dans la lune,1902,0,no,8.1,55020.0,short,13.0,Action,Adventure,Comedy,0
Gulliver&#39;s Travels,1902,0,no,6.6,950.0,short,4.0,Fantasy,Short,,0
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0,no,4.8,126.0,short,1.0,Comedy,Fantasy,Short,0
Mephistopheles&#39; School of Magic,1902,0,no,5.5,491.0,short,3.0,Comedy,Fantasy,Horror,0
"Great Train Robbery, The",1903,0,no,7.3,20773.0,short,11.0,Action,Adventure,Crime,0
"Infernal Boiling Pot, The",1903,0,no,6.6,2241.0,short,2.0,Horror,Short,,0
"Music Lover, The",1903,0,no,6.8,1923.0,short,3.0,Comedy,Music,Short,0
"Monster, The",1903,0,no,6.3,1321.0,short,3.0,Fantasy,Horror,Short,0
"Enchanted Well, The",1903,0,no,6.0,474.0,short,4.0,Drama,Fantasy,Short,0
"Cook in Trouble, The",1904,0,no,6.0,864.0,short,4.0,Comedy,Fantasy,Short,0
"Living Playing Cards, The",1904,0,no,6.6,1554.0,short,3.0,Comedy,Fantasy,Short,0
"Untamable Whiskers, The",1904,0,no,6.2,1159.0,short,3.0,Fantasy,Short,,0
Le voyage a travers l&#39;impossible,1904,0,no,7.5,3932.0,short,24.0,Action,Adventure,Family,0
"Scheming Gambler&#39;s Paradise, The",1905,0,no,6.0,858.0,short,3.0,Short,,,0
"Black Imp, The",1905,0,no,7.0,2254.0,short,4.0,Comedy,Fantasy,Horror,0
"Story of the Kelly Gang, The",1906,1,no,6.0,866.0,movie,70.0,Action,Adventure,Biography,0
"Mysterious Retort, The",1906,0,no,5.8,691.0,short,3.0,Fantasy,Mystery,Short,0
Humorous Phases of Funny Faces,1906,0,no,6.3,1430.0,short,3.0,Animation,Comedy,Family,0
"Hilarious Posters, The",1906,0,no,6.2,1194.0,short,3.0,Comedy,Fantasy,Short,0
"400 Tricks of the Devil, The",1906,0,no,6.8,1338.0,short,17.0,Fantasy,Horror,Short,0
A Funny Shave,1906,0,no,5.8,583.0,short,2.0,Comedy,Short,,0
"Consequence of Feminism, The",1906,0,no,6.6,944.0,short,7.0,Comedy,Short,,0
"Eclipse: Courtship of the Sun and Moon, The",1907,0,no,6.4,1375.0,short,9.0,Comedy,Fantasy,Romance,0
Good Glue Sticks,1907,0,no,5.4,636.0,short,5.0,Comedy,Short,,0
Unusual Cooking,1908,0,no,5.8,45.0,short,3.0,Animation,Short,,0
"Princess Nicotine; or, The Smoke Fairy",1909,2,yes,6.5,1007.0,short,5.0,Comedy,Fantasy,Short,0
"Devilish Tenant, The",1909,0,no,7.2,1956.0,short,6.0,Comedy,Short,,0
Le barometre de la fidelite,1909,1,no,6.1,64.0,short,15.0,Comedy,Short,,0
Tilly the Tomboy Visits the Poor,1910,3,no,5.9,73.0,short,6.0,Comedy,Short,,1
Mobilier fidele,1910,0,no,6.6,403.0,short,4.0,Animation,Comedy,Short,0
A Trip to Mars,1910,0,no,6.0,497.0,short,5.0,Adventure,Fantasy,Sci-Fi,0
Cleopatra,1912,2,no,5.1,613.0,movie,100.0,Drama,History,,0
"Invaders, The",1912,0,no,6.2,330.0,short,41.0,Short,Western,,0
Max and the Donkey,1912,0,no,5.7,60.0,short,7.0,Comedy,Short,,0
"Voyage of the Bourrichon Family, The",1913,0,no,5.0,187.0,short,15.0,Comedy,Short,,0
Suspense,1913,0,no,7.4,2098.0,short,10.0,Drama,Horror,Short,0
A Florida Enchantment,1914,2,yes,5.9,294.0,movie,63.0,Comedy,,,0
"Birth of a Nation, The",1915,2,no,6.1,26148.0,movie,195.0,Drama,History,War,0
Gretchen the Greenhorn,1916,3,no,6.4,532.0,movie,58.0,Crime,Drama,Romance,1
Lady Windermere&#39;s Fan,1916,3,no,5.3,66.0,movie,66.0,Comedy,Drama,,1
"Vagabond, The",1916,0,no,6.8,3134.0,short,24.0,Comedy,Drama,Romance,0
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0,no,7.7,16593.0,movie,163.0,Drama,History,,0
Snow White,1916,3,no,6.3,431.0,movie,63.0,Fantasy,Romance,,1
A Tale of Two Cities,1917,3,no,6.0,158.0,movie,70.0,Drama,History,Romance,1
Rebecca of Sunnybrook Farm,1917,3,no,6.3,887.0,movie,78.0,Comedy,Drama,,1
"Poor Little Rich Girl, The",1917,3,no,6.7,1529.0,movie,78.0,Comedy,Drama,Family,1
A Romance of the Redwoods,1917,0,no,6.1,856.0,movie,91.0,Adventure,Comedy,Drama,0
"Raffles, the Amateur Cracksman",1917,2,yes,6.4,182.0,movie,70.0,Adventure,Crime,Romance,0
Tarzan of the Apes,1918,3,no,5.8,922.0,movie,73.0,Action,Adventure,,1
Stella Maris,1918,3,no,6.9,1544.0,movie,84.0,Drama,,,1
Are Crooks Dishonest?,1918,0,no,6.2,363.0,short,13.0,Comedy,Short,,0
Ich mochte kein Mann sein,1918,3,yes,6.8,1615.0,movie,45.0,Comedy,Romance,,1
When the Clouds Roll by,1919,3,yes,6.9,968.0,movie,85.0,Action,Comedy,Romance,1
Broken Blossoms or The Yellow Man and the Girl,1919,0,no,7.2,10978.0,movie,90.0,Drama,Romance,,0
"Cabinet of Dr. Caligari, The",1920,0,no,8.0,69312.0,movie,76.0,Horror,Mystery,Thriller,0
Pollyanna,1920,3,no,6.4,501.0,movie,58.0,Comedy,Drama,Family,1
Within Our Gates,1920,3,no,6.4,3550.0,movie,79.0,Drama,Romance,,1
Orphans of the Storm,1921,3,no,7.3,5435.0,movie,150.0,Drama,History,Romance,1
"Kid, The",1921,0,no,8.2,133664.0,movie,68.0,Comedy,Drama,Family,0
"Blot, The",1921,3,no,6.7,667.0,movie,91.0,Drama,Romance,,1
K&ouml;rkarlen (The Phantom Carriage),1921,2,no,8.0,13910.0,movie,107.0,Drama,Fantasy,Horror,0
"Nosferatu, eine Symphonie des Grauens",1922,2,no,7.9,104451.0,movie,94.0,Fantasy,Horror,,0
"Phantom, The",1922,2,no,6.7,1941.0,movie,125.0,Drama,Romance,,0
Nathan der Weise,1922,2,no,6.9,151.0,movie,128.0,Drama,History,,0
"Man from Beyond, The",1922,1,no,5.3,331.0,movie,74.0,Mystery,Sci-Fi,,0
H&auml;xan: Witchcraft Through the Ages,1922,3,no,7.6,16459.0,movie,91.0,Documentary,Fantasy,Horror,1
"Paleface, The",1922,0,no,6.8,3220.0,short,20.0,Comedy,Short,Western,0
Nanook of the North,1922,1,no,7.6,13322.0,movie,78.0,Documentary,,,0
Foolish Wives,1922,3,no,7.0,3990.0,movie,117.0,Drama,Thriller,,1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,3,no,7.8,9088.0,movie,242.0,Crime,Mystery,Thriller,1
Safety Last!,1923,0,no,8.1,22625.0,movie,74.0,Action,Comedy,Thriller,0
Why Worry?,1923,0,no,7.3,2034.0,movie,63.0,Adventure,Comedy,Family,0
"Silent Command, The",1923,2,no,5.9,102.0,movie,80.0,Drama,,,0
La souriante Madame Beudet,1923,3,no,6.6,2883.0,short,38.0,Drama,Short,,1
Our Hospitality,1923,0,no,7.8,12377.0,movie,65.0,Comedy,Romance,Thriller,0
A Woman of Paris,1923,2,no,6.9,6079.0,movie,82.0,Drama,Romance,,0
Die Nibelungen,1924,2,no,8.1,6454.0,movie,143.0,Adventure,Drama,Fantasy,0
Kriemhild&#39;s Revenge,1924,2,no,7.9,4925.0,movie,129.0,Adventure,Drama,Fantasy,0
"Thief of Bagdad, The",1924,0,no,7.7,6889.0,movie,155.0,Adventure,Family,Fantasy,0
Wild Oranges,1924,0,no,6.7,561.0,movie,88.0,Drama,Romance,,0
"Navigator, The",1924,0,no,7.6,10941.0,movie,59.0,Action,Comedy,Romance,0
Sherlock Jr.,1924,0,no,8.2,55988.0,movie,45.0,Action,Comedy,Romance,0
Girl Shy,1924,0,no,7.7,3628.0,movie,87.0,Comedy,Romance,,0
Manhandled,1924,3,no,6.7,1128.0,movie,75.0,Comedy,Drama,,1
"Great White Silence, The",1924,0,no,8.0,1631.0,movie,80.0,Documentary,,,0
Help!,1924,0,no,6.8,470.0,short,18.0,Comedy,Horror,Mystery,0
Greed,1924,3,no,8.0,10668.0,movie,140.0,Drama,Thriller,Western,1
"Phantom of the Opera, The",1925,2,no,7.5,19948.0,movie,93.0,Horror,,,0
Battleship Potemkin,1925,0,no,7.9,61020.0,movie,75.0,Drama,History,Thriller,0
"Gold Rush, The",1925,0,no,8.1,117661.0,movie,95.0,Adventure,Comedy,Drama,0
Go West,1925,0,no,7.1,4939.0,movie,69.0,Comedy,Western,,0
"Freshman, The",1925,0,no,7.5,6014.0,movie,77.0,Comedy,Family,Romance,0
Seven Chances,1925,0,yes,7.8,11585.0,movie,56.0,Comedy,Romance,,0
"Lost World, The",1925,2,yes,7.0,5746.0,movie,110.0,Adventure,Fantasy,Horror,0
"Big Parade, The",1925,2,no,7.9,7199.0,movie,151.0,Drama,Romance,War,0
Stachka,1925,0,no,7.6,8536.0,movie,82.0,Drama,,,0
"Temptress, The",1926,1,no,6.9,1334.0,movie,62.0,Drama,Romance,,0
Flesh and the Devil,1926,1,no,7.6,4582.0,movie,112.0,Drama,,,0
"General, The",1926,0,no,8.1,97289.0,movie,78.0,Action,Adventure,Comedy,0
For Heaven&#39;s Sake,1926,0,no,7.5,1929.0,movie,58.0,Action,Comedy,Romance,0
So&#39;s Your Old Man,1926,3,no,6.5,238.0,movie,67.0,Comedy,Romance,,1
Die Abenteuer des Prinzen Achmed,1926,1,no,7.8,6785.0,movie,80.0,Adventure,Animation,Family,0
It,1927,3,no,7.2,3510.0,movie,72.0,Comedy,Romance,,1
Metropolis,1927,1,no,8.3,183891.0,movie,153.0,Drama,Sci-Fi,,0
Abel Gance&#39;s Napoleon,1927,2,no,8.2,8685.0,movie,330.0,Biography,Drama,History,0
"Unknown, The",1927,0,no,7.7,8988.0,movie,68.0,Drama,Horror,Romance,0
Sunrise: A Song of Two Humans,1927,2,no,8.1,53464.0,movie,94.0,Drama,Romance,,0
"Kid Brother, The",1927,0,no,7.6,4779.0,movie,82.0,Comedy,Drama,Family,0
Nevada,1927,0,no,6.2,136.0,movie,70.0,Western,,,0
My Best Girl,1927,3,no,7.4,937.0,movie,80.0,Comedy,Romance,,1
Wings,1927,1,no,7.5,14263.0,movie,144.0,Action,Drama,Romance,0
"Jazz Singer, The",1927,1,no,6.4,10940.0,movie,88.0,Drama,Music,Musical,0
Downhill [When Boys Leave Home],1927,1,no,6.0,3002.0,movie,80.0,Adventure,Drama,Thriller,0
"Passion of Joan of Arc, The",1928,0,no,8.1,59921.0,movie,110.0,Biography,Drama,History,0
Speedy,1928,0,no,7.6,4204.0,movie,85.0,Action,Comedy,Family,0
"Circus, The",1928,0,no,8.1,35757.0,movie,72.0,Comedy,Family,Romance,0
"Cameraman, The",1928,0,no,8.0,12967.0,movie,76.0,Comedy,Drama,Family,0
"Steamboat Bill, Jr.",1928,0,no,7.8,15991.0,movie,70.0,Action,Comedy,Drama,0
"Racket, The",1928,0,no,6.6,1512.0,movie,84.0,Crime,Drama,Film-Noir,0
Beggars of Life,1928,0,no,7.4,1294.0,movie,84.0,Adventure,Crime,Drama,0
"Power of the Press, The",1928,1,no,6.4,315.0,movie,62.0,Drama,,,0
A Girl in Every Port,1928,0,no,6.6,803.0,movie,78.0,Action,Adventure,Comedy,0
"Patsy, The",1928,3,no,7.5,2751.0,movie,78.0,Comedy,Drama,Romance,1
While the City Sleeps,1928,2,no,6.5,258.0,movie,66.0,Action,Crime,Drama,0
"Man Who Laughs, The",1928,2,no,7.6,7913.0,movie,110.0,Drama,Horror,Mystery,0
"Crowd, The",1928,1,no,8.1,9033.0,movie,98.0,Drama,Romance,,0
"Docks of New York, The",1928,2,yes,7.5,4971.0,movie,76.0,Crime,Drama,Film-Noir,0
Our Dancing Daughters,1928,2,no,6.7,1942.0,movie,85.0,Drama,,,0
Un chien andalou,1929,0,no,7.6,53388.0,short,16.0,Fantasy,Horror,Short,0
"Cocoanuts, The",1929,2,no,6.8,8135.0,movie,96.0,Comedy,Musical,Romance,0
Welcome Danger,1929,0,no,5.9,816.0,movie,113.0,Comedy,,,0
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,3,yes,7.8,11724.0,movie,109.0,Crime,Drama,Romance,1
Man with a Movie Camera,1929,0,no,8.3,27668.0,movie,68.0,Documentary,,,0
Blackmail,1929,2,no,6.9,11827.0,movie,85.0,Crime,Drama,Thriller,0
Throw of the Dice,1929,0,no,6.5,989.0,movie,74.0,Adventure,Drama,Romance,0
Juno and the Paycock [The Shame of Mary Boyle],1929,3,no,4.6,2507.0,movie,85.0,Comedy,Drama,,1
Broadway Melody,1929,3,no,5.6,7857.0,movie,100.0,Drama,Musical,Romance,1
"Blue Angel, The",1930,1,no,7.7,16173.0,movie,104.0,Drama,Music,,0
All Quiet on the Western Front,1930,0,no,8.1,67171.0,movie,152.0,Drama,War,,0
Anna Christie,1930,3,no,6.6,3455.0,movie,89.0,Drama,Romance,,1
Ladies of Leisure,1930,3,no,6.7,1372.0,movie,99.0,Drama,Romance,,1
L&#39;Age d&#39;Or,1930,0,no,7.2,14700.0,movie,60.0,Comedy,Drama,,0
Morocco,1930,1,no,7.0,7402.0,movie,92.0,Drama,Romance,,0
Min and Bill,1930,3,no,6.7,1884.0,movie,69.0,Comedy,Drama,,1
Be Yourself,1930,2,no,5.6,224.0,movie,65.0,Comedy,Musical,,0
"Bat Whispers, The",1930,3,no,6.3,1137.0,movie,83.0,Crime,Drama,Horror,1
Murder!,1930,3,no,6.3,6843.0,movie,104.0,Crime,Mystery,Thriller,1
Animal Crackers,1930,3,no,7.4,15185.0,movie,97.0,Comedy,Family,Musical,1
M,1931,3,no,8.3,167011.0,movie,117.0,Crime,Mystery,Thriller,1
M&auml;dchen in Uniform,1931,3,no,7.6,3672.0,movie,88.0,Drama,Romance,,1
Night Nurse,1931,3,no,7.0,4443.0,movie,72.0,Comedy,Crime,Drama,1
Frankenstein,1931,1,no,7.8,78996.0,movie,70.0,Drama,Horror,Sci-Fi,0
Anna Christie,1931,3,no,6.9,936.0,movie,85.0,Drama,,,1
Mata Hari,1931,3,no,6.6,3924.0,movie,89.0,Crime,Drama,Romance,1
Tabu: A Story of the South Seas,1931,0,no,7.4,6326.0,movie,86.0,Adventure,Drama,Romance,0
Indiscreet,1931,3,no,6.2,1537.0,movie,92.0,Comedy,Musical,Romance,1
"Last Flight, The",1931,0,no,6.9,1385.0,movie,76.0,Drama,,,0
Pardon Us,1931,0,no,6.8,2780.0,movie,56.0,Comedy,Crime,Drama,0
Dracula,1931,2,no,7.4,58057.0,movie,75.0,Drama,Fantasy,Horror,0
Monkey Business,1931,1,no,7.4,14207.0,movie,77.0,Comedy,Family,Musical,0
City Lights,1931,3,no,8.5,194420.0,movie,87.0,Comedy,Drama,Romance,1
"Smiling Lieutenant, The",1931,2,no,7.2,4082.0,movie,93.0,Comedy,Musical,Romance,0
"Cheat, The",1931,3,yes,6.3,820.0,movie,74.0,Drama,Romance,,1
"Public Enemy, The",1931,3,yes,7.6,22833.0,movie,83.0,Crime,Drama,,1
La Chienne,1931,3,no,7.5,4791.0,movie,91.0,Crime,Drama,,1
A Nous la Liberte,1931,1,no,7.4,4917.0,movie,83.0,Comedy,Musical,,0
Little Caesar,1931,1,no,7.2,14348.0,movie,79.0,Action,Crime,Drama,0
"Skin Game, The",1931,3,no,5.7,3517.0,movie,85.0,Drama,,,1
Rich and Strange [East of Shanghai],1931,2,no,5.7,4847.0,movie,110.0,Comedy,Drama,Romance,0
Dracula,1931,3,no,7.0,5050.0,movie,104.0,Drama,Fantasy,Horror,1
Cimarron,1931,3,no,5.8,6814.0,movie,123.0,Drama,Western,,1
Hyppolit a lakaj,1931,1,no,7.7,1735.0,movie,72.0,Comedy,,,0
Skippy,1931,3,yes,6.3,975.0,movie,85.0,Comedy,Drama,Family,1
"Champ, The",1931,1,no,7.2,3563.0,movie,86.0,Drama,Family,Sport,0
I Am a Fugitive from a Chain Gang,1932,1,no,8.2,14310.0,movie,92.0,Crime,Drama,Film-Noir,0
Grand Hotel,1932,3,no,7.3,20655.0,movie,112.0,Drama,Romance,,1
"Age of Consent, The",1932,2,no,6.0,429.0,movie,63.0,Drama,Romance,,0
Horse Feathers,1932,1,no,7.5,13321.0,movie,68.0,Comedy,Family,Musical,0
White Zombie,1932,0,no,6.2,11565.0,movie,69.0,Horror,,,0
Boudu Saved from Drowning,1932,1,no,7.2,6147.0,movie,85.0,Comedy,,,0
"I Was Born, But...",1932,1,no,7.9,6121.0,movie,90.0,Comedy,Drama,,0
"Most Dangerous Game, The",1932,0,no,7.1,13845.0,movie,63.0,Action,Adventure,Horror,0
Freaks,1932,2,no,7.8,50129.0,movie,64.0,Drama,Horror,,0
Island of Lost Souls,1932,1,no,7.4,10799.0,movie,70.0,Film-Noir,Horror,Sci-Fi,0
"Old Dark House, The",1932,3,no,7.0,12925.0,movie,72.0,Adventure,Comedy,Drama,1
Merrily We Go to Hell,1932,3,yes,6.9,1897.0,movie,83.0,Comedy,Drama,Romance,1
"Girl from Calgary, The",1932,2,no,5.3,92.0,movie,64.0,Comedy,Musical,,0
Vampyr,1932,3,no,7.4,20335.0,movie,75.0,Fantasy,Horror,,1
Shanghai Express,1932,3,no,7.3,10189.0,movie,82.0,Adventure,Drama,Film-Noir,1
Three on a Match,1932,3,no,7.1,4347.0,movie,63.0,Crime,Drama,Romance,1
Love Me Tonight,1932,2,yes,7.5,4585.0,movie,104.0,Comedy,Musical,Romance,0
Scarface,1932,1,no,7.7,30050.0,movie,93.0,Action,Crime,Drama,0
Red-Headed Woman,1932,3,no,7.0,3504.0,movie,79.0,Comedy,Drama,Romance,1
"Death Kiss, The",1932,1,no,6.0,1393.0,movie,75.0,Comedy,Crime,Drama,0
Thirteen Women,1932,3,no,6.2,1768.0,movie,73.0,Crime,Drama,Horror,1
"Blue Light (Das Blaue Licht), The",1932,1,no,6.8,1372.0,movie,85.0,Drama,Fantasy,Mystery,0
Number 17,1932,0,no,5.7,5369.0,movie,66.0,Crime,Mystery,Thriller,0
Footlight Parade,1933,3,no,7.5,6022.0,movie,104.0,Comedy,Musical,Romance,1
Queen Christina,1933,3,no,7.5,8517.0,movie,99.0,Biography,Drama,Romance,1
"Private Life of Henry VIII., The",1933,1,no,7.0,4788.0,movie,97.0,Biography,Drama,,0
King Kong,1933,0,no,7.9,90213.0,movie,100.0,Adventure,Horror,Sci-Fi,0
Little Women,1933,3,no,7.2,7855.0,movie,115.0,Drama,Family,Romance,1
Alice in Wonderland,1933,3,no,6.3,2579.0,movie,76.0,Adventure,Family,Fantasy,1
